Id,ListImpressions,DetailsViews,Conversions,ClickRate7Days,ConversionRate7Days,ConversionRate14Days
11406,71,67,72,94.37,100,100
11407,77,62,82,80.52,100,100
11408,67,70,75,100,100,100
11409,76,72,68,94.74,94.44,94.44
11410,79,59,70,74.68,100,100
11411,62,91,73,100,80.22,80.22
11412,83,57,68,68.67,100,100
11413,72,69,64,95.83,92.75,92.75
11414,60,78,79,100,100,100
11415,75,64,74,85.33,100,100
11416,96,76,63,79.17,82.89,82.89
11417,76,67,69,88.16,100,100
11418,88,67,84,76.14,100,100
11419,74,72,86,97.3,100,100
11420,66,75,76,100,100,100
11421,62,62,76,100,100,100
11422,58,65,71,100,100,100
11423,71,66,77,92.96,100,100
11424,70,75,61,100,81.33,81.33
11425,62,73,66,100,90.41,90.41
11426,55,56,66,100,100,100
11427,67,67,57,100,85.07,85.07
11428,67,59,79,88.06,100,100
11429,50,67,71,100,100,100
11430,64,71,58,100,81.69,81.69
11431,79,69,78,87.34,100,100
11432,51,61,69,100,100,100
11433,64,65,73,100,100,100
11434,66,81,63,100,77.78,77.78
11435,51,70,73,100,100,100
11436,69,68,72,98.55,100,100
11437,74,73,55,98.65,75.34,75.34
11438,60,63,67,100,100,100
11439,71,66,90,92.96,100,100
11440,85,71,82,83.53,100,100
11441,71,61,71,85.92,100,100
11442,76,69,73,90.79,100,100
11443,77,81,74,100,91.36,91.36
11444,86,71,71,82.56,100,100
11445,82,60,83,73.17,100,100
11446,84,61,77,72.62,100,100
11447,64,68,76,100,100,100
11448,79,68,77,86.08,100,100
11449,67,59,61,88.06,100,100
11450,62,59,83,95.16,100,100
11451,73,54,66,73.97,100,100
11452,69,77,82,100,100,100
11453,65,71,59,100,83.1,83.1
11454,70,79,73,100,92.41,92.41
11455,67,76,78,100,100,100
11456,67,78,62,100,79.49,79.49
11457,91,56,63,61.54,100,100
11458,61,81,68,100,83.95,83.95
11459,83,61,69,73.49,100,100
11460,76,51,63,67.11,100,100
11461,69,61,62,88.41,100,100
11462,73,65,80,89.04,100,100
11463,68,69,95,100,100,100
11464,65,66,72,100,100,100
11465,84,74,83,88.1,100,100
11466,66,61,55,92.42,90.16,90.16
11467,78,65,59,83.33,90.77,90.77
11468,75,79,52,100,65.82,65.82
11469,63,69,63,100,91.3,91.3
11470,79,67,77,84.81,100,100
11471,60,80,78,100,97.5,97.5
11472,78,73,78,93.59,100,100
11473,73,73,68,100,93.15,93.15
11474,64,81,71,100,87.65,87.65
11475,71,79,70,100,88.61,88.61
11476,77,79,65,100,82.28,82.28
11477,80,59,73,73.75,100,100
11478,93,80,77,86.02,96.25,96.25
11479,82,76,69,92.68,90.79,90.79
11480,70,83,47,100,56.63,56.63
11481,87,70,70,80.46,100,100
11482,78,61,86,78.21,100,100
11483,73,75,73,100,97.33,97.33
11484,69,73,73,100,100,100
11485,65,66,64,100,96.97,96.97
11486,79,70,69,88.61,98.57,98.57
11487,69,77,75,100,97.4,97.4
11488,67,52,76,77.61,100,100
11489,76,66,68,86.84,100,100
11490,76,75,79,98.68,100,100
11491,73,68,78,93.15,100,100
11492,68,74,88,100,100,100
11493,92,85,71,92.39,83.53,83.53
11494,72,69,66,95.83,95.65,95.65
11495,57,63,71,100,100,100
11496,55,68,61,100,89.71,89.71
11497,80,57,73,71.25,100,100
11498,73,74,92,100,100,100
11499,91,69,79,75.82,100,100
11500,75,91,67,100,73.63,73.63
11501,63,63,55,100,87.3,87.3
11502,87,72,76,82.76,100,100
11503,62,61,71,98.39,100,100
11504,67,77,72,100,93.51,93.51
11505,62,64,88,100,100,100
11506,90,78,67,86.67,85.9,85.9
11507,77,69,79,89.61,100,100
11508,66,71,71,100,100,100
11509,58,67,75,100,100,100
11510,72,69,74,95.83,100,100
11511,75,76,70,100,92.11,92.11
11512,64,83,72,100,86.75,86.75
11513,56,63,83,100,100,100
11514,67,77,72,100,93.51,93.51
11515,64,69,76,100,100,100
11516,81,73,79,90.12,100,100
11517,73,73,68,100,93.15,93.15
11518,55,70,77,100,100,100
11519,64,64,74,100,100,100
11520,78,75,69,96.15,92,92
11521,74,68,67,91.89,98.53,98.53
11522,67,56,74,83.58,100,100
11523,86,76,64,88.37,84.21,84.21
11524,61,71,82,100,100,100
11525,80,73,66,91.25,90.41,90.41
11526,66,93,79,100,84.95,84.95
11527,84,65,72,77.38,100,100
11528,68,62,69,91.18,100,100
11529,65,77,57,100,74.03,74.03
11530,66,70,69,100,98.57,98.57
11531,81,75,75,92.59,100,100
11532,71,77,71,100,92.21,92.21
11533,66,72,69,100,95.83,95.83
11534,62,70,64,100,91.43,91.43
11535,80,59,61,73.75,100,100
11536,78,63,78,80.77,100,100
11537,67,87,65,100,74.71,74.71
11538,74,66,82,89.19,100,100
11539,65,64,70,98.46,100,100
11540,72,63,71,87.5,100,100
11541,68,67,73,98.53,100,100
11542,60,64,72,100,100,100
11543,74,88,65,100,73.86,73.86
11544,83,68,75,81.93,100,100
11545,71,79,75,100,94.94,94.94
11546,86,67,81,77.91,100,100
11547,58,71,85,100,100,100
11548,67,80,82,100,100,100
11549,65,65,77,100,100,100
11550,76,80,70,100,87.5,87.5
11551,65,65,77,100,100,100
11552,67,60,62,89.55,100,100
11553,59,56,59,94.92,100,100
11554,72,83,53,100,63.86,63.86
11555,70,52,77,74.29,100,100
11556,75,77,74,100,96.1,96.1
11557,71,79,77,100,97.47,97.47
11558,65,69,70,100,100,100
11559,77,69,62,89.61,89.86,89.86
11560,70,73,80,100,100,100
11561,70,70,75,100,100,100
11562,88,54,59,61.36,100,100
11563,88,83,79,94.32,95.18,95.18
11564,58,51,71,87.93,100,100
11565,85,73,78,85.88,100,100
11566,59,77,65,100,84.42,84.42
11567,74,70,87,94.59,100,100
11568,88,65,73,73.86,100,100
11569,65,62,73,95.38,100,100
11570,73,65,82,89.04,100,100
11571,70,59,69,84.29,100,100
11572,78,79,77,100,97.47,97.47
11573,78,74,64,94.87,86.49,86.49
11574,81,65,63,80.25,96.92,96.92
11575,84,68,67,80.95,98.53,98.53
11576,73,73,84,100,100,100
11577,65,66,76,100,100,100
11578,72,83,81,100,97.59,97.59
11579,63,74,72,100,97.3,97.3
11580,55,58,76,100,100,100
11581,69,49,72,71.01,100,100
11582,69,82,71,100,86.59,86.59
11583,86,63,64,73.26,100,100
11584,74,85,70,100,82.35,82.35
11585,80,70,84,87.5,100,100
11586,68,78,75,100,96.15,96.15
11587,70,68,70,97.14,100,100
11588,67,86,78,100,90.7,90.7
11589,77,63,73,81.82,100,100
11590,67,68,85,100,100,100
11591,53,88,93,100,100,100
11592,81,70,69,86.42,98.57,98.57
11593,74,61,73,82.43,100,100
11594,78,71,70,91.03,98.59,98.59
11595,66,65,73,98.48,100,100
11596,76,79,72,100,91.14,91.14
11597,78,53,66,67.95,100,100
11598,75,83,85,100,100,100
11599,62,74,69,100,93.24,93.24
11600,58,76,76,100,100,100
11601,73,66,81,90.41,100,100
11602,72,81,81,100,100,100
11603,60,73,68,100,93.15,93.15
11604,82,73,75,89.02,100,100
11605,76,66,82,86.84,100,100
11606,70,63,82,90,100,100
11607,71,57,84,80.28,100,100
11608,72,72,75,100,100,100
11609,72,77,65,100,84.42,84.42
11610,68,79,59,100,74.68,74.68
11611,70,79,64,100,81.01,81.01
11612,65,78,68,100,87.18,87.18
11613,64,67,70,100,100,100
11614,68,84,67,100,79.76,79.76
11615,68,59,72,86.76,100,100
11616,72,71,64,98.61,90.14,90.14
11617,63,75,81,100,100,100
11618,65,64,68,98.46,100,100
11619,79,72,65,91.14,90.28,90.28
11620,81,60,79,74.07,100,100
11621,68,79,79,100,100,100
11622,70,74,66,100,89.19,89.19
11623,67,68,80,100,100,100
11624,73,71,72,97.26,100,100
11625,66,67,71,100,100,100
11626,88,63,83,71.59,100,100
11627,75,79,74,100,93.67,93.67
11628,67,58,76,86.57,100,100
11629,59,82,88,100,100,100
11630,69,78,60,100,76.92,76.92
11631,76,56,57,73.68,100,100
11632,76,69,74,90.79,100,100
11633,71,74,68,100,91.89,91.89
11634,92,79,63,85.87,79.75,79.75
11635,71,66,63,92.96,95.45,95.45
11636,74,70,55,94.59,78.57,78.57
11637,67,72,75,100,100,100
11638,67,62,68,92.54,100,100
11639,65,75,60,100,80,80
11640,66,74,63,100,85.14,85.14
11641,84,67,74,79.76,100,100
11642,75,80,68,100,85,85
11643,68,75,64,100,85.33,85.33
11644,71,69,78,97.18,100,100
11645,77,68,84,88.31,100,100
11646,84,61,75,72.62,100,100
11647,68,82,96,100,100,100
11648,81,76,64,93.83,84.21,84.21
11649,74,57,71,77.03,100,100
11650,81,64,77,79.01,100,100
11651,74,67,73,90.54,100,100
11652,84,72,86,85.71,100,100
11653,61,83,76,100,91.57,91.57
11654,59,65,78,100,100,100
11655,82,69,66,84.15,95.65,95.65
11656,62,60,72,96.77,100,100
11657,67,62,61,92.54,98.39,98.39
11658,65,88,61,100,69.32,69.32
11659,74,91,79,100,86.81,86.81
11660,62,53,69,85.48,100,100
11661,63,70,75,100,100,100
11662,65,68,70,100,100,100
11663,73,76,70,100,92.11,92.11
11664,80,71,60,88.75,84.51,84.51
11665,73,78,63,100,80.77,80.77
11666,81,77,66,95.06,85.71,85.71
11667,72,73,66,100,90.41,90.41
11668,73,57,84,78.08,100,100
11669,65,74,75,100,100,100
11670,65,69,74,100,100,100
11671,70,67,73,95.71,100,100
11672,63,66,57,100,86.36,86.36
11673,74,73,71,98.65,97.26,97.26
11674,67,83,54,100,65.06,65.06
11675,65,66,67,100,100,100
11676,62,62,70,100,100,100
11677,74,65,57,87.84,87.69,87.69
11678,69,62,67,89.86,100,100
11679,78,83,70,100,84.34,84.34
11680,70,68,65,97.14,95.59,95.59
11681,59,68,95,100,100,100
11682,65,84,74,100,88.1,88.1
11683,71,81,93,100,100,100
11684,62,59,81,95.16,100,100
11685,79,68,88,86.08,100,100
11686,76,62,73,81.58,100,100
11687,86,68,78,79.07,100,100
11688,74,61,76,82.43,100,100
11689,76,68,90,89.47,100,100
11690,72,80,68,100,85,85
11691,80,59,67,73.75,100,100
11692,81,61,78,75.31,100,100
11693,84,79,72,94.05,91.14,91.14
11694,79,80,66,100,82.5,82.5
11695,62,63,65,100,100,100
11696,80,70,49,87.5,70,70
11697,73,71,86,97.26,100,100
11698,74,72,76,97.3,100,100
11699,75,76,78,100,100,100
11700,57,68,76,100,100,100
11701,68,69,66,100,95.65,95.65
11702,57,76,74,100,97.37,97.37
11703,67,82,84,100,100,100
11704,64,76,75,100,98.68,98.68
11705,68,82,82,100,100,100
11706,70,69,77,98.57,100,100
11707,59,56,76,94.92,100,100
11708,77,71,68,92.21,95.77,95.77
11709,68,72,75,100,100,100
11710,56,67,57,100,85.07,85.07
11711,71,72,64,100,88.89,88.89
11712,82,70,82,85.37,100,100
11713,66,75,76,100,100,100
11714,78,82,70,100,85.37,85.37
11715,71,68,58,95.77,85.29,85.29
11716,78,64,58,82.05,90.62,90.62
11717,81,78,68,96.3,87.18,87.18
11718,85,69,63,81.18,91.3,91.3
11719,61,69,72,100,100,100
11720,75,90,63,100,70,70
11721,51,75,73,100,97.33,97.33
11722,52,66,66,100,100,100
11723,68,70,66,100,94.29,94.29
11724,79,75,73,94.94,97.33,97.33
11725,69,60,76,86.96,100,100
11726,76,57,71,75,100,100
11727,57,68,70,100,100,100
11728,81,77,71,95.06,92.21,92.21
11729,84,74,63,88.1,85.14,85.14
11730,72,65,58,90.28,89.23,89.23
11731,83,84,82,100,97.62,97.62
11732,75,76,65,100,85.53,85.53
11733,70,64,72,91.43,100,100
11734,83,69,66,83.13,95.65,95.65
11735,72,73,74,100,100,100
11736,72,83,71,100,85.54,85.54
11737,80,84,72,100,85.71,85.71
11738,83,60,65,72.29,100,100
11739,72,63,82,87.5,100,100
11740,72,71,69,98.61,97.18,97.18
11741,75,87,56,100,64.37,64.37
11742,64,80,62,100,77.5,77.5
11743,67,50,69,74.63,100,100
11744,74,67,80,90.54,100,100
11745,69,58,66,84.06,100,100
11746,65,75,79,100,100,100
11747,75,78,82,100,100,100
11748,75,63,64,84,100,100
11749,58,70,79,100,100,100
11750,66,65,64,98.48,98.46,98.46
11751,62,85,73,100,85.88,85.88
11752,81,64,73,79.01,100,100
11753,71,75,71,100,94.67,94.67
11754,70,76,67,100,88.16,88.16
11755,64,66,74,100,100,100
11756,66,61,76,92.42,100,100
11757,68,80,65,100,81.25,81.25
11758,72,67,77,93.06,100,100
11759,68,83,62,100,74.7,74.7
11760,87,80,75,91.95,93.75,93.75
11761,76,84,67,100,79.76,79.76
11762,70,77,100,100,100,100
11763,76,64,69,84.21,100,100
11764,70,77,73,100,94.81,94.81
11765,65,81,66,100,81.48,81.48
11766,82,71,63,86.59,88.73,88.73
11767,73,73,57,100,78.08,78.08
11768,65,76,74,100,97.37,97.37
11769,58,78,72,100,92.31,92.31
11770,78,77,56,98.72,72.73,72.73
11771,75,73,66,97.33,90.41,90.41
11772,84,64,79,76.19,100,100
11773,60,75,70,100,93.33,93.33
11774,76,76,67,100,88.16,88.16
11775,60,71,59,100,83.1,83.1
11776,59,62,73,100,100,100
11777,74,66,65,89.19,98.48,98.48
11778,68,79,75,100,94.94,94.94
11779,78,62,65,79.49,100,100
11780,70,76,74,100,97.37,97.37
11781,60,74,55,100,74.32,74.32
11782,75,63,84,84,100,100
11783,59,71,68,100,95.77,95.77
11784,72,60,80,83.33,100,100
11785,70,78,72,100,92.31,92.31
11786,75,69,63,92,91.3,91.3
11787,78,69,65,88.46,94.2,94.2
11788,65,69,79,100,100,100
11789,75,69,62,92,89.86,89.86
11790,65,83,85,100,100,100
11791,82,67,65,81.71,97.01,97.01
11792,76,77,66,100,85.71,85.71
11793,72,75,72,100,96,96
11794,81,63,82,77.78,100,100
11795,68,71,87,100,100,100
11796,85,83,77,97.65,92.77,92.77
11797,72,54,63,75,100,100
11798,62,70,66,100,94.29,94.29
11799,68,89,73,100,82.02,82.02
11800,62,74,79,100,100,100
11801,68,69,75,100,100,100
11802,66,80,58,100,72.5,72.5
11803,73,60,66,82.19,100,100
11804,75,66,80,88,100,100
11805,77,67,61,87.01,91.04,91.04
11806,64,66,73,100,100,100
11807,86,86,67,100,77.91,77.91
11808,65,69,85,100,100,100
11809,81,69,78,85.19,100,100
11810,74,72,56,97.3,77.78,77.78
11811,80,78,70,97.5,89.74,89.74
11812,72,83,66,100,79.52,79.52
11813,68,60,57,88.24,95,95
11814,80,71,80,88.75,100,100
11815,69,69,79,100,100,100
11816,66,83,80,100,96.39,96.39
11817,67,79,59,100,74.68,74.68
11818,67,67,67,100,100,100
11819,71,91,63,100,69.23,69.23
11820,72,75,76,100,100,100
11821,79,59,69,74.68,100,100
11822,64,69,56,100,81.16,81.16
11823,72,76,86,100,100,100
11824,76,71,81,93.42,100,100
11825,72,81,59,100,72.84,72.84
11826,78,71,67,91.03,94.37,94.37
11827,55,54,65,98.18,100,100
11828,58,72,79,100,100,100
11829,66,69,65,100,94.2,94.2
11830,73,59,67,80.82,100,100
11831,72,62,56,86.11,90.32,90.32
11832,68,77,81,100,100,100
11833,67,76,77,100,100,100
11834,64,75,65,100,86.67,86.67
11835,60,82,81,100,98.78,98.78
11836,76,74,64,97.37,86.49,86.49
11837,75,63,61,84,96.83,96.83
11838,80,68,70,85,100,100
11839,71,88,77,100,87.5,87.5
11840,65,65,70,100,100,100
11841,83,49,79,59.04,100,100
11842,71,84,72,100,85.71,85.71
11843,80,80,68,100,85,85
11844,70,66,67,94.29,100,100
11845,81,75,98,92.59,100,100
11846,62,78,66,100,84.62,84.62
11847,76,66,75,86.84,100,100
11848,81,70,74,86.42,100,100
11849,83,59,71,71.08,100,100
11850,73,57,72,78.08,100,100
11851,80,63,61,78.75,96.83,96.83
11852,71,70,58,98.59,82.86,82.86
11853,90,71,69,78.89,97.18,97.18
11854,69,77,89,100,100,100
11855,64,86,64,100,74.42,74.42
11856,76,58,54,76.32,93.1,93.1
11857,70,72,69,100,95.83,95.83
11858,65,65,72,100,100,100
11859,89,70,59,78.65,84.29,84.29
11860,61,60,73,98.36,100,100
11861,71,71,60,100,84.51,84.51
11862,94,65,71,69.15,100,100
11863,64,72,86,100,100,100
11864,64,85,77,100,90.59,90.59
11865,88,66,66,75,100,100
11866,71,59,58,83.1,98.31,98.31
11867,77,69,58,89.61,84.06,84.06
11868,69,59,60,85.51,100,100
11869,71,82,65,100,79.27,79.27
11870,65,75,68,100,90.67,90.67
11871,64,82,63,100,76.83,76.83
11872,90,77,62,85.56,80.52,80.52
11873,68,78,78,100,100,100
11874,79,74,71,93.67,95.95,95.95
11875,66,73,83,100,100,100
11876,69,61,67,88.41,100,100
11877,59,65,92,100,100,100
11878,71,69,70,97.18,100,100
11879,63,75,65,100,86.67,86.67
11880,76,83,71,100,85.54,85.54
11881,67,63,69,94.03,100,100
11882,74,59,72,79.73,100,100
11883,77,63,81,81.82,100,100
11884,72,77,79,100,100,100
11885,62,92,75,100,81.52,81.52
11886,70,70,68,100,97.14,97.14
11887,75,90,64,100,71.11,71.11
11888,71,62,68,87.32,100,100
11889,72,91,76,100,83.52,83.52
11890,76,80,59,100,73.75,73.75
11891,66,65,59,98.48,90.77,90.77
11892,65,87,75,100,86.21,86.21
11893,79,86,67,100,77.91,77.91
11894,64,55,66,85.94,100,100
11895,75,66,77,88,100,100
11896,78,77,67,98.72,87.01,87.01
11897,72,59,73,81.94,100,100
11898,97,64,66,65.98,100,100
11899,74,64,76,86.49,100,100
11900,75,76,82,100,100,100
11901,59,80,58,100,72.5,72.5
11902,67,70,70,100,100,100
11903,54,70,69,100,98.57,98.57
11904,71,74,68,100,91.89,91.89
11905,64,67,61,100,91.04,91.04
11906,80,72,69,90,95.83,95.83
11907,74,69,67,93.24,97.1,97.1
11908,75,82,74,100,90.24,90.24
11909,60,70,65,100,92.86,92.86
11910,71,82,60,100,73.17,73.17
11911,71,74,86,100,100,100
11912,65,62,69,95.38,100,100
11913,67,72,62,100,86.11,86.11
11914,77,71,61,92.21,85.92,85.92
11915,57,72,57,100,79.17,79.17
11916,65,74,98,100,100,100
11917,76,63,84,82.89,100,100
11918,85,91,82,100,90.11,90.11
11919,60,78,56,100,71.79,71.79
11920,79,79,77,100,97.47,97.47
11921,72,90,71,100,78.89,78.89
11922,81,77,78,95.06,100,100
11923,69,65,69,94.2,100,100
11924,73,65,68,89.04,100,100
11925,74,73,49,98.65,67.12,67.12
11926,63,75,81,100,100,100
11927,66,70,78,100,100,100
11928,69,65,63,94.2,96.92,96.92
11929,63,83,85,100,100,100
11930,81,83,68,100,81.93,81.93
11931,68,57,64,83.82,100,100
11932,74,65,65,87.84,100,100
11933,67,75,65,100,86.67,86.67
11934,52,69,58,100,84.06,84.06
11935,71,59,67,83.1,100,100
11936,66,64,70,96.97,100,100
11937,63,54,61,85.71,100,100
11938,71,75,78,100,100,100
11939,53,74,59,100,79.73,79.73
11940,65,70,72,100,100,100
11941,76,73,65,96.05,89.04,89.04
11942,65,74,75,100,100,100
11943,85,76,76,89.41,100,100
11944,64,85,47,100,55.29,55.29
11945,76,77,58,100,75.32,75.32
11946,69,75,75,100,100,100
11947,69,68,67,98.55,98.53,98.53
11948,91,72,78,79.12,100,100
11949,75,78,52,100,66.67,66.67
11950,50,76,71,100,93.42,93.42
11951,72,78,70,100,89.74,89.74
11952,73,65,77,89.04,100,100
11953,76,64,69,84.21,100,100
11954,81,90,54,100,60,60
11955,88,74,72,84.09,97.3,97.3
11956,60,76,57,100,75,75
11957,76,61,81,80.26,100,100
11958,60,79,66,100,83.54,83.54
11959,79,69,80,87.34,100,100
11960,54,69,67,100,97.1,97.1
11961,81,60,79,74.07,100,100
11962,66,64,61,96.97,95.31,95.31
11963,79,59,63,74.68,100,100
11964,72,71,83,98.61,100,100
11965,73,67,74,91.78,100,100
11966,66,59,63,89.39,100,100
11967,64,87,71,100,81.61,81.61
11968,80,72,76,90,100,100
11969,62,69,64,100,92.75,92.75
11970,57,74,61,100,82.43,82.43
11971,70,63,61,90,96.83,96.83
11972,75,65,70,86.67,100,100
11973,81,64,81,79.01,100,100
11974,60,67,73,100,100,100
11975,74,66,91,89.19,100,100
11976,70,78,77,100,98.72,98.72
11977,73,62,57,84.93,91.94,91.94
11978,68,77,78,100,100,100
11979,71,74,69,100,93.24,93.24
11980,76,79,67,100,84.81,84.81
11981,74,82,70,100,85.37,85.37
11982,80,92,71,100,77.17,77.17
11983,66,65,72,98.48,100,100
11984,97,67,74,69.07,100,100
11985,64,78,87,100,100,100
11986,56,59,67,100,100,100
11987,74,71,79,95.95,100,100
11988,78,81,77,100,95.06,95.06
11989,56,70,69,100,98.57,98.57
11990,71,68,59,95.77,86.76,86.76
11991,76,85,66,100,77.65,77.65
11992,70,64,74,91.43,100,100
11993,63,76,83,100,100,100
11994,60,75,75,100,100,100
11995,74,78,63,100,80.77,80.77
11996,67,67,69,100,100,100
11997,89,75,63,84.27,84,84
11998,65,73,69,100,94.52,94.52
11999,82,63,60,76.83,95.24,95.24
12000,67,81,73,100,90.12,90.12
12001,70,66,59,94.29,89.39,89.39
12002,56,80,75,100,93.75,93.75
12003,77,64,62,83.12,96.88,96.88
12004,75,69,79,92,100,100
12005,69,64,74,92.75,100,100
12006,66,64,63,96.97,98.44,98.44
12007,70,70,45,100,64.29,64.29
12008,60,71,60,100,84.51,84.51
12009,67,71,69,100,97.18,97.18
12010,69,85,66,100,77.65,77.65
12011,63,72,71,100,98.61,98.61
12012,76,60,60,78.95,100,100
12013,88,54,78,61.36,100,100
12014,87,82,68,94.25,82.93,82.93
12015,67,74,84,100,100,100
12016,67,76,61,100,80.26,80.26
12017,72,80,67,100,83.75,83.75
12018,77,87,63,100,72.41,72.41
12019,63,76,77,100,100,100
12020,76,62,72,81.58,100,100
12021,58,72,79,100,100,100
12022,59,67,78,100,100,100
12023,60,67,70,100,100,100
12024,77,72,69,93.51,95.83,95.83
12025,73,81,73,100,90.12,90.12
12026,68,72,50,100,69.44,69.44
12027,58,80,71,100,88.75,88.75
12028,78,59,70,75.64,100,100
12029,72,77,63,100,81.82,81.82
12030,60,73,65,100,89.04,89.04
12031,63,73,82,100,100,100
12032,71,67,65,94.37,97.01,97.01
12033,68,58,60,85.29,100,100
12034,68,66,70,97.06,100,100
12035,70,70,59,100,84.29,84.29
12036,76,74,76,97.37,100,100
12037,58,79,72,100,91.14,91.14
12038,75,73,76,97.33,100,100
12039,69,72,63,100,87.5,87.5
12040,81,57,63,70.37,100,100
12041,72,71,83,98.61,100,100
12042,69,66,68,95.65,100,100
12043,62,81,60,100,74.07,74.07
12044,72,68,51,94.44,75,75
12045,66,76,66,100,86.84,86.84
12046,84,74,61,88.1,82.43,82.43
12047,66,75,62,100,82.67,82.67
12048,78,69,101,88.46,100,100
12049,72,71,82,98.61,100,100
12050,61,68,77,100,100,100
12051,61,57,73,93.44,100,100
12052,97,81,72,83.51,88.89,88.89
12053,67,73,63,100,86.3,86.3
12054,78,68,74,87.18,100,100
12055,70,56,71,80,100,100
12056,69,63,64,91.3,100,100
12057,81,54,71,66.67,100,100
12058,63,76,76,100,100,100
12059,60,62,74,100,100,100
12060,68,58,75,85.29,100,100
12061,87,73,68,83.91,93.15,93.15
12062,55,74,66,100,89.19,89.19
12063,82,51,78,62.2,100,100
12064,84,61,87,72.62,100,100
12065,92,70,74,76.09,100,100
12066,78,64,73,82.05,100,100
12067,77,59,74,76.62,100,100
12068,66,83,69,100,83.13,83.13
12069,68,64,63,94.12,98.44,98.44
12070,81,74,80,91.36,100,100
12071,72,71,63,98.61,88.73,88.73
12072,78,66,59,84.62,89.39,89.39
12073,64,66,81,100,100,100
12074,63,70,74,100,100,100
12075,68,63,75,92.65,100,100
12076,77,86,70,100,81.4,81.4
12077,66,81,51,100,62.96,62.96
12078,74,64,79,86.49,100,100
12079,72,63,78,87.5,100,100
12080,73,78,69,100,88.46,88.46
12081,64,77,76,100,98.7,98.7
12082,59,79,84,100,100,100
12083,74,72,68,97.3,94.44,94.44
12084,78,61,64,78.21,100,100
12085,61,89,74,100,83.15,83.15
12086,73,65,67,89.04,100,100
12087,85,63,63,74.12,100,100
12088,71,60,58,84.51,96.67,96.67
12089,77,73,77,94.81,100,100
12090,77,70,79,90.91,100,100
12091,75,64,61,85.33,95.31,95.31
12092,67,71,61,100,85.92,85.92
12093,95,77,58,81.05,75.32,75.32
12094,73,78,68,100,87.18,87.18
12095,73,69,65,94.52,94.2,94.2
12096,78,69,70,88.46,100,100
12097,68,66,72,97.06,100,100
12098,75,81,67,100,82.72,82.72
12099,84,71,73,84.52,100,100
12100,68,82,84,100,100,100
12101,66,77,87,100,100,100
12102,67,77,71,100,92.21,92.21
12103,77,84,71,100,84.52,84.52
12104,53,72,75,100,100,100
12105,59,77,62,100,80.52,80.52
12106,80,77,75,96.25,97.4,97.4
12107,70,77,72,100,93.51,93.51
12108,79,72,79,91.14,100,100
12109,78,73,70,93.59,95.89,95.89
12110,67,86,73,100,84.88,84.88
12111,93,88,74,94.62,84.09,84.09
12112,78,69,61,88.46,88.41,88.41
12113,67,59,73,88.06,100,100
12114,60,68,69,100,100,100
12115,70,68,70,97.14,100,100
12116,78,66,77,84.62,100,100
12117,82,78,78,95.12,100,100
12118,81,66,64,81.48,96.97,96.97
12119,67,71,80,100,100,100
12120,84,79,66,94.05,83.54,83.54
12121,65,70,77,100,100,100
12122,71,77,68,100,88.31,88.31
12123,76,58,75,76.32,100,100
12124,62,61,58,98.39,95.08,95.08
12125,73,71,70,97.26,98.59,98.59
12126,64,88,63,100,71.59,71.59
12127,59,92,73,100,79.35,79.35
12128,73,70,74,95.89,100,100
12129,66,70,65,100,92.86,92.86
12130,67,81,71,100,87.65,87.65
12131,82,61,82,74.39,100,100
12132,65,69,70,100,100,100
12133,76,76,68,100,89.47,89.47
12134,70,77,73,100,94.81,94.81
12135,72,68,56,94.44,82.35,82.35
12136,70,70,65,100,92.86,92.86
12137,85,72,66,84.71,91.67,91.67
12138,81,76,68,93.83,89.47,89.47
12139,66,64,55,96.97,85.94,85.94
12140,86,68,68,79.07,100,100
12141,69,72,72,100,100,100
12142,81,71,65,87.65,91.55,91.55
12143,67,73,73,100,100,100
12144,62,79,69,100,87.34,87.34
12145,70,75,65,100,86.67,86.67
12146,65,85,73,100,85.88,85.88
12147,64,66,74,100,100,100
12148,81,73,75,90.12,100,100
12149,71,82,52,100,63.41,63.41
12150,66,66,72,100,100,100
12151,76,71,70,93.42,98.59,98.59
12152,70,63,76,90,100,100
12153,73,66,74,90.41,100,100
12154,65,68,66,100,97.06,97.06
12155,75,80,73,100,91.25,91.25
12156,62,77,65,100,84.42,84.42
12157,66,81,64,100,79.01,79.01
12158,79,72,70,91.14,97.22,97.22
12159,61,76,68,100,89.47,89.47
12160,68,69,62,100,89.86,89.86
12161,75,80,66,100,82.5,82.5
12162,77,61,72,79.22,100,100
12163,79,74,66,93.67,89.19,89.19
12164,79,73,84,92.41,100,100
12165,65,72,74,100,100,100
12166,79,70,70,88.61,100,100
12167,73,90,63,100,70,70
12168,69,74,69,100,93.24,93.24
12169,72,75,53,100,70.67,70.67
12170,63,80,60,100,75,75
12171,68,65,65,95.59,100,100
12172,80,78,63,97.5,80.77,80.77
12173,69,68,78,98.55,100,100
12174,58,83,66,100,79.52,79.52
12175,63,71,73,100,100,100
12176,47,67,69,100,100,100
12177,76,77,68,100,88.31,88.31
12178,59,94,58,100,61.7,61.7
12179,75,76,73,100,96.05,96.05
12180,76,60,71,78.95,100,100
12181,83,74,60,89.16,81.08,81.08
12182,82,64,68,78.05,100,100
12183,55,72,77,100,100,100
12184,77,62,67,80.52,100,100
12185,61,81,65,100,80.25,80.25
12186,61,87,56,100,64.37,64.37
12187,72,80,70,100,87.5,87.5
12188,65,68,70,100,100,100
